id,authority,place,ward,precinct,registered,ballots,il-constitution-votes,il-constitution-yes,il-constitution-no,us-president-votes,us-president-dem,us-president-rep
,,,,CHERRY GROVE/SHANNON 1,445,378,361,55,306,374,92,275
,,,,CHERRY GROVE/SHANNON 2,634,517,484,129,355,511,136,358
,,,,ELKHORN GROVE,154,120,119,12,107,117,30,83
,,,,FAIR HAVEN,555,454,435,91,344,448,124,314
,,,,FREEDOM,655,582,570,128,442,571,177,389
,,,,MT CARROLL 1,410,318,294,107,187,314,120,186
,,,,MT CARROLL 2,684,544,519,141,378,541,194,341
,,,,MT CARROLL 3,372,293,276,85,191,290,108,174
,,,,ROCK CREEK/LIMA 1,632,505,486,117,369,501,186,310
,,,,ROCK CREEK/LIMA 2,757,588,568,134,434,584,174,387
,,,,SALEM,260,214,199,41,158,212,52,159
,,,,SAVANNA 1,308,201,182,84,98,200,98,98
,,,,SAVANNA 2,236,172,160,62,98,171,83,87
,,,,SAVANNA 3,248,152,143,71,72,151,77,71
,,,,SAVANNA 4,445,321,288,106,182,319,144,168
,,,,SAVANNA 5,389,285,272,78,194,282,113,164
,,,,SAVANNA 6,630,404,369,157,212,402,162,232
,,,,WASHINGTON,252,215,206,56,150,212,76,127
,,,,WOODLAND,218,181,171,34,137,179,59,112
,,,,WYSOX 1,524,422,403,90,313,420,127,282
,,,,WYSOX 2,405,298,283,53,230,295,85,203
,,,,YORK,1211,932,886,282,604,930,331,585
